Levels,Forecast_Methods,Target_Service_Level,Senario,Achieved_Service_Level,Holding_Costs,Backlogging_Costs
12,LGBM_MinT,90%,TD_IR,0.7047755704446422,1.0423228165433513,3.8654774669677874
10,LGBM_MinT,95%,TD_IR,0.9113760952068594,8.11146185996416,5.21035659544493
11,LGBM_MinT,95%,TD_IR,0.8101250995642599,3.0015594765541977,7.393823806571715
12,LGBM_MinT,95%,TD_IR,0.7286042262099985,1.1679422799365493,7.300161444407031
10,LGBM_MinT,99%,TD_IR,0.9570819472426557,11.174586026101043,12.638958908211958
11,LGBM_MinT,99%,TD_IR,0.8694575895297443,3.9356718878971093,25.08316434321671
12,LGBM_MinT,99%,TD_IR,0.7700475565759265,1.4161833684793788,30.837647711879466
10,ETS,90%,TD_IR,0.8645574661481517,7.173758316268136,4.402603764192869
11,ETS,90%,TD_IR,0.7834653047837699,2.6976542511182937,4.225147899324525
12,ETS,90%,TD_IR,0.7443002389542238,1.0364960204963916,3.3123420762454905
10,ETS,95%,TD_IR,0.9054725202642553,8.925418875524283,6.041404366719854
11,ETS,95%,TD_IR,0.8249426041325024,3.2352743247487306,6.956360747478691
12,ETS,95%,TD_IR,0.7682015180621281,1.1844659940658053,6.150698460426154
10,ETS,99%,TD_IR,0.9535796279810711,12.361369914372213,14.305892276000721
11,ETS,99%,TD_IR,0.8832130753252433,4.303770795169199,22.916732306134588
12,ETS,99%,TD_IR,0.807337300285808,1.4765604290151324,25.23250954781324
10,ETS_BU,90%,TD_IR,0.8621913507941714,7.140424406727775,4.579432221873717
11,ETS_BU,90%,TD_IR,0.7839650783238845,2.6708302680811835,4.142676599838564
12,ETS_BU,90%,TD_IR,0.7482207281075762,1.018138561773544,3.194808312094267
10,ETS_BU,95%,TD_IR,0.9038092114510612,8.90974852422431,6.333159031845297
11,ETS_BU,95%,TD_IR,0.8251924909025597,3.217150558904182,6.808506309707251
12,ETS_BU,95%,TD_IR,0.7725483765168908,1.1694494574547771,5.924333398799099
10,ETS_BU,99%,TD_IR,0.9520920208030736,12.380960827326845,15.219930895592123
11,ETS_BU,99%,TD_IR,0.8839236908275937,4.3018329026487105,22.38306035896716
12,ETS_BU,99%,TD_IR,0.8115588249074638,1.4677835614634824,24.261053483908167
10,ETS_TD,90%,TD_IR,0.8645574661481517,7.173758316268136,4.402603764192869
11,ETS_TD,90%,TD_IR,0.7838791797466773,2.687708384601519,4.135635100673552
12,ETS_TD,90%,TD_IR,0.7464121726092864,1.0278284015500618,3.23433350572852
10,ETS_TD,95%,TD_IR,0.9054725202642553,8.925418875524283,6.041404366719854
11,ETS_TD,95%,TD_IR,0.8255477986537351,3.2268321523546817,6.7959594719917575
